Gene	A31338	A31372	A31360	A31387	A30212	A33903	A31406	A31388	A31288	A31390	A30231	A31428	A31432	A31467	A31459
AC011139.1	12.0098	1.7236	1.4331	0.9513	0.5088	0.6614	0.2088	0.2658	1.2709	2.6745	2.1838	2.7406	0.5781	0.8068	0.1992
AC011193.1	1.3097	0	0	0	0	0	0	0	0	0	0	0	0.7747	0	0
AC011195.1	3.112	0.0162	0.1138	0	0	0	0.0171	0	0	0	0.0299	0	0	0	0
AC011196.3	0.3396	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011225.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011233.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011236.7	4.925	0	0	0	0	0	0	0	0.0482	0	0	0	0.1754	0	0
AC011236.8	2.616	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011239.1	2.2374	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011239.2	2.7832	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011242.5	2.208	0	0.0352	0	0.0269	0.0366	0.0797	0.0223	0.0382	0	0.0985	0.0984	0.0464	0.1226	0.0549
AC011242.6	0	0	0.3209	0	0.0331	2.1434	1.0447	0	0	0	0	0	0.0284	0.6811	1.9737
AC011243.1	5.3544	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011245.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011247.2	175.4491	892.8514	854.3443	290.7349	142.9404	577.0755	174.6011	346.9205	321.3073	256.1157	1389.0446	927.9453	334.5353	726.8333	279.4102
AC011247.3	0	0	0	1.8669	1.1755	0	0.198	0	0	0	0.5667	0	0	0	0
AC011260.2	1.5704	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011284.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011286.1	1.2308	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011288.2	0.7958	0	0	0.0244	0	0	0	0	0	0	0	0	0.0271	0	0
AC011290.3	1.4801	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011290.4	1.7371	0.4936	0.423	0	0	0.6333	0	0	0	0	0	0.2632	0.6523	0	0
AC011290.5	0.1944	1.0227	0	0	0	0	0	0	0	0	0	0.8749	0.8317	0.0431	0.0194
AC011292.2	0.3944	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011293.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011294.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011294.3	0.4183	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011295.1	0	0	0	0	0.0185	0	0	0	0	0	0	0	0	0	0
AC011295.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011295.3	0	0	0	0	0	0	0	0	0	0.0607	0	0	0	0	0
AC011295.4	0	0	0	0.0166	0	0	0	0	0	0	0	0	0	0	0
AC011295.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011298.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011306.1	0.3791	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011306.2	0.0292	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011322.1	16.089	19.0414	20.4731	11.1205	82.747	31.1361	18.0375	20.5424	28.2905	12.8519	63.4648	16.3086	8.6413	23.5175	11.2277
AC011322.4	3.7869	10.6454	7.5162	6.1736	11.7678	16.279	7.4623	6.7462	4.2562	4.8531	2.9292	13.7251	13.4356	11.1043	9.7316
AC011325.1	0.0848	62.5865	8.0301	0	0.3366	0.3188	0.5144	0	0	0	0.3642	30.6541	0.9386	40.719	0
AC011330.12	0	0	0	0.1554	0	0	0	0	0	0	0	0.1717	0	0	0
AC011330.13	0.4562	0.2774	0.2916	1.2636	0.2499	0.6706	0.7633	0.0095	0.0837	0.9725	1.2581	0.2945	2.8966	1.95	0.2612
AC011330.5	0.0051	0.0836	0.0124	0.1889	0.022	0.1187	0.0823	0.1602	0.0273	0.1043	0.0078	0.0364	0.0777	0.0109	0.3051
AC011330.6	0	0	0	0	0	0.0892	0	0.3281	0	0	0	0	0.1904	0.4592	0
AC011330.8	0.476	0.2037	0	0	0	0.0362	0	0.073	0	0	0	0.1331	0.0478	0.0533	0.0151
AC011347.1	0.9634	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011363.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011370.1	7.1317	2.2163	1.4999	0	2.6121	0.9483	4.8027	0.6009	0.4997	0.8918	0.1072	10.9676	0.9368	0.5288	4.0851
AC011374.1	0.32	0	0	0	0	0.2076	0	0	0.3021	0	0	0	0	0	0
AC011374.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011374.3	0.1225	2.567	0.1898	0.1072	0.0394	0.1722	0.0057	0.2142	0.1759	0.0784	0.0375	0.5667	0.0955	0.3393	0.0844
AC011374.5	2.259	0	0	2.3623	0	0	0.2914	0	0.4449	0	0	0	0	0	0
AC011379.1	0.0085	0.6404	0	0.7621	0.1241	1.4047	1.0478	2.5665	0.8359	1.6101	0.0342	2.8084	0.5634	0.5315	0
AC011383.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011385.1	48.4718	9.3092	0.9068	10.5912	6.5548	9.9536	8.3261	12.5723	11.8116	4.6876	58.4144	4.641	6.9028	2.5365	16.7958
AC011385.3	14.1792	2.2914	0	5.6759	1.8001	3.205	1.1442	4.8517	0.7903	0	11.5018	1.4042	6.9626	1.327	2.1302
AC011388.1	1.3528	0	0	1.6502	0.2723	0	0	0.4535	1.0183	0	0.0787	1.4164	0.4864	0	2.1573
AC011394.1	41.7557	80.1642	43.3177	41.1562	28.6879	58.1135	48.7274	74.6152	30.0569	39.8726	53.5121	52.7552	87.0724	50.2143	43.0074
AC011406.2	8.1913	2.2328	1.2974	0	1.4307	1.3354	0	0	0.3778	0	1.6738	0.3149	2.2117	1.5383	0.9956
AC011407.1	0	0	0	1.2207	0	0	0	0	0.1426	0	0	0	0	0	0
AC011414.2	2.0044	2.233	1.3934	0.6034	0.204	0.9138	1.5407	1.4976	1.4886	0.8022	0.8527	1.6699	1.3484	1.1488	1.6841
AC011427.1	0.1792	0	0	0	0	0	0	0	0	0.2304	0	0.0459	0	0	0
AC011431.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011442.1	8.9305	0.1347	3.612	1.0173	1.3317	0.2448	0.2137	0.6842	1.7405	0	1.1236	1.8222	1.6243	0.1276	0.5025
AC011443.1	0.9199	0	0.0042	0	0	0	0	0	0	0	0	0	0	0	0
AC011444.1	9.5343	0.8671	0.3765	3.9026	2.7735	3.6125	0.9807	0.5333	2.622	3.9781	2.2651	1.7932	7.2712	1.5509	6.4216
AC011445.1	2.124	1.6523	0	0	0	0	0	0	0	0	0	0	0.6538	0	0
AC011447.1	0.3449	1.602	0.0537	0	0.0492	0.7942	0.1873	0	0	0.4205	0.049	2.0072	2.4842	1.1676	0.0502
AC011447.2	2.8484	1.1989	0.8202	0	0.0223	0	0.0807	0	0	5.1693	0.048	2.6291	0.4855	0.1167	0
AC011450.1	29.6709	22.7017	24.7936	13.1184	23.3557	23.1755	36.9614	28.6882	31.5251	15.125	26.8975	33.096	30.8547	32.3005	40.5642
AC011450.2	0.1026	0.0724	0.2661	0	0.1023	0.3194	0.2117	0.3435	0.2442	0.4566	0	0.1838	0.0889	0.397	0.1574
AC011452.2	5.2844	3.0605	0.0552	1.2188	0.7166	1.4064	1.6372	0.274	2.0411	0.142	2.9887	1.8492	0.3924	1.3936	1.6563
AC011453.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011455.1	0.3259	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011456.1	0	0	0	0.2073	0	0	0	0	0	0	0	0	0	0	0
AC011460.1	1.5413	0.8695	0	0.9786	0.503	1.5042	0.0667	0.9527	0.8494	2.136	0.199	0.6214	2.8163	2.0117	0
AC011465.1	2.3179	0	0	0	0	0	0	0	0	0	0.2007	1.2978	0	0	0
AC011466.1	3.6067	2.6875	2.2078	1.7129	0.8738	2.0403	1.3932	4.5657	0.7186	0.2147	1.2095	2.7671	4.1303	3.5287	0.2502
AC011466.2	2.932	1.1901	0.0995	0.0116	0.0654	0.0394	1.9979	0.8886	0.0289	0.1598	0.1892	0.2477	0.0189	0.4025	0.0155
AC011467.1	7.5041	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011467.3	0.0163	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011467.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011467.5	2.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011468.2	3.9838	4.629	4.2065	0.107	0.5157	0.5297	4.6309	0.4613	2.1371000000000002	3.7354	3.7858	13.0885	5.3605	5.9081	0.4745
AC011468.3	2.7681	4.5186	2.1555	1.9952	0.9626	0.5975	3.3208	0.4624	1.1237	4.6888	0.1944	4.6391	3.1578	5.2582	4.0177
AC011468.4	4.8285	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011471.1	7.1787	17.1655	8.3285	3.1172	1.53	7.9077	4.9528	18.933	1.2587	2.3577	16.4487	15.7092	28.4218	5.4514	2.9001
AC011472.1	0.772	0	0	0	0.2857	0.2591	0.5154	0	0.1376	0	0.2232	0	0	0.068	0
AC011475.1	2.9232	1.5033	2.094	2.7519	3.0728	0.7469	1.8715	0.1793	2.061	4.1032	4.2133	6.9325	3.2318	0.5671	1.5622
AC011475.2	6.2371	0.2851	1.7516	0.8137	0.3379	6.0129	4.0677	0.1421	0.9132	3.1749	24.4897	1.8457	7.2417	1.6642	5.0542
AC011476.1	7.2006	7.8506	6.033	10.7477	1.532	36.2405	8.6244	11.1181	3.2546	11.3385	9.1207	13.8517	73.5642	27.8889	11.3987
AC011477.1	4.2543	1.1359	2.6102	0.8901	0.1351	3.3979	0.0222	0.2734	0.1209	0.3663	0.0822	0.9443	2.4839	0.962	0.0166
AC011477.2	1.4133	12.208	4.7288	3.089	0.907	7.9282	3.5475	2.8839	1.867	11.0832	5.0749	10.2579	12.3313	8.9868	6.3568
AC011477.3	0.4784	0	0	0	0	0	0	0	0	0	0	0.1958	0	0	0
AC011477.4	3.4474	0.0623	0.1422	0.1156	0.1661	0.1342	0.0773	0.0572	0.0215	0.0674	0.8847	0.1229	0.0865	0.0293	0.2041
AC011478.1	0.1625	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011479.2	15.9292	0	0	0.0805	0.5629	1.612	1.3705	3.3271	0	0.5481	5.4853	2.1665	1.0236	4.0391	0
AC011479.3	40.566	191.0675	131.4395	0.0309	58.4275	186.5426	56.2741	107.6817	1.7007	355.1685	10.0552	242.2358	159.6477	305.1134	42.3768
AC011483.1	0.446	0	0	0	0	0	0	0	0	0.04	0	0	0	0.036	0
AC011484.1	0.0527	0.5974	0	0	0.1137	0	0	0	0	0	0	0.7787	0	0	0
AC011484.2	1.4966	0.6568	0.0577	0.1278	0.6339	0.5171	0.7676	0.0051	0.3095	0	0.2119	0.9747	1.3922	0.4351	0.7309
AC011484.3	0.6904	0	0	0	0.4706	0.0055	0	1.7994	0	0	0.1279	0	2.1208	0	0
AC011487.1	17.4192	0.9384	0.8958	0.5271	0.2656	1.1092	1.3121	0	2.5444	0	1.0353	5.1003	8.1231	1.7226	9.2274
AC011487.2	9.3855	0	0	0	0	0	0	0	0	0	0	0.7423	0	0	0
AC011487.3	0.1613	0	0.0638	0	0	0	0	0	0	0	0.0865	0	0	0.0833	0
AC011489.2	0.865	0.1286	1.3444	0.4438	0.3003	0.1556	0.9921	0.4266	0.6427	0.0077	2.723	1.1087	1.3671	0.8384	0.3628
AC011489.3	0.545	0.0762	0.2229	0.0482	0.1254	0.1351	1.7586	0	0.0791	0.3093	0.0194	0.2442	0.6831	0.7689	0
AC011491.1	2.8978	0.142	0	0	0	0.0209	0	0	0	0	0.1946	0	0	0	0.0506
AC011491.6	2.8423	0.1516	0.2264	0	0.0424	0.1188	0	0	0	0	0.2977	0.0946	0.0277	0.0569	0.054
AC011496.1	0.4128	0	0	0	0.334	7.3363	1.6502	4.0225	0	0	1.301	1.0319	3.6693	0	0
AC011498.1	12.5713	14.8173	17.808	15.5585	17.7895	12.7221	8.2651	13.0495	10.131	11.8221	93.8184	17.1691	14.9959	21.3899	15.3985
AC011498.2	1.8547	0.115	2.7115	0.2929	0	1.0051	0	0.1313	0.2884	0	0	0	1.8237	0.7054	0.1641
AC011500.1	3.5059	0	0	0	0.3043	0.1931	0.1578	0	0.1814	0	0.3365	0.2888	0.8394	0.52	0.1023
AC011500.2	1.0332	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011501.2	30.6023	4.6262	20.7511	16.2913	11.6074	0	35.6849	20.3658	12.2135	16.4975	40.8721	2.0505	9.103	2.8248	214.6731
AC011503.1	0.9551	2.9082	0.5206	0	0.6024	2.3291	0.0624	0.5512	0	0.5014	0.0822	2.7252	1.1558	3.7274	0.8259
AC011508.1	0.3323	0	0	0	0.0303	0.1973	0	0.6552	0.0072	0.0385	0.0371	0.0756	0.0132	0	0
AC011509.1	0.2992	0	0.0479	0	0	0	0	0	0	0	0.0647	0.0705	0.0995	0	0
AC011510.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011510.2	9.1078	4.7736	0.1021	1.098	0.4377	1.4744	4.2893	0	0	1.1098	2.0476	0.6433	1.0059	2.243	0.7641
AC011515.2	4.3113	0	0.1511	1.3634	1.6726	0	0.991	0.6301	0.471	0	1.7631	0.2287	0	0	0.7731
AC011526.1	0.1684	0	0	0	0.0089	0	0	0	0	0	0	0.3827	0.6956	0	0
AC011533.1	21.8515	43.2739	43.7247	34.9471	10.4737	30.8427	13.291	15.1736	15.0329	18.6221	35.144	43.5386	27.2612	31.4674	21.4099
AC011535.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011542.1	0.062	0.5219	0.0582	0	0.2416	0.0459	0.7304	0	0.237	0.3298	0.2304	0.2551	0.3862	0.013	0.0052
AC011543.1	0.1225	0	0	0	0.0292	0	0.001	0	0	0	0	1.6997	0.035	0	0
AC011544.1	3.9124	3.4238	0.1438	0.4274	0.6593	0.023	0.8762	0	0.8194	0.2255	0.8719	0.6284	0	0	0
AC011551.1	6.6176	0.8934	17.9868	0.0481	0.1247	0.0888	0.453	0	0.0147	0	0.0759	0.9921	0.8477	0.0178	0.0635
AC011594.3	0.9046	0	0	0	0	0	0	0	0	0	0	0	0	0.3148	0
AC011603.2	10.2712	7.1293	6.0449	5.9442	7.0106	9.7865	9.1701	8.8866	10.3706	9.6392	7.8021	8.0559	9.381	6.194	8.9313
AC011609.3	1.629	0	0	0	0.0287	0	0	0	0	0	0	0	0	0	0
AC011611.1	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011611.2	1.9181	0	0.0322	0	0	0	0	0	0	0	0	0	0.0638	0	0
AC011625.1	0.6902	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011626.1	2.6035	0	0	0	0	0	0	0	0	0	0	0.8659	0	0.6411	0
AC011718.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011718.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011718.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011718.4	0.1254	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011718.5	0.0244	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011737.2	102.4412	431.3513	216.9322	106.1719	45.1938	200.2359	97.246	166.47	104.2485	73.0275	38.4137	477.4473	151.5336	315.0762	95.4082
AC011738.1	0	0	0	0	0	0	0	0	0	0	0.8586	0	0	0	0
AC011738.4	0.5247	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011740.3	4.2568	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011741.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011742.3	5.6242	13.3469	2.1674	3.2974	2.1036	2.3999	13.4088	1.5725	6.5612	2.255	20.0776	9.7649	11.7857	8.649	7.3564
AC011742.4	6.2243	2.4388	0.1222	2.1799	0.8033	2.1792	3.5437	1.6437	1.5872	0.3817	3.914	4.127	6.4703	3.1155	4.4582
AC011742.5	2.6936	0.0781	0	0	0	0	0.6141	0	0	0	0.172	0.2185	0	0	0
AC011747.3	0.1664	0.0424	0	0.7343	1.0234	0	0.1336	0	0	0	0	0	0	0	0
AC011747.4	0.4797	0.0024	0.0439	0.0269	0.1311	0.0015	0.2586	0	0.2213	0.2467	0.1358	0.03	0.1767	0	0.2091
AC011747.5	0.4187	0	0	0	0.0259	0	0	0	0	0	0	0	0	0	0
AC011747.6	1.8648	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011747.7	0.1934	0.0026	0.592	0.0947	0.0455	0	0.0657	0.2488	0.0972	0	0	0.0462	0.0018	0.05	0
AC011748.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011752.1	0.1254	0	0	0	0.5273	0	0	0	0	0	0	0	0	0	0
AC011753.5	0.7043	0	0.0936	0.1684	0.0184	0	0.0874	0	0	0.1141	0	0	0	0	0
AC011753.6	0.3433	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011753.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011754.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0169	0
AC011767.1	2.6954	0.3812	0	0	5.9362	8.4949	1.3074	0	0.0392	0	0.0159	0	0	0	3.6655
AC011815.1	0.623	3.8572	0.7682	1.8618	0.2703	2.2003	2.0724	2.5028	0.1898	1.9587	0.84	3.5564	2.2104	4.8791	1.5532
AC011816.1	0.0136	0	0.5232	0	0.1145	0	1.2828	0	0	0	0	0.3964	0.145	0	0
AC011816.3	5.6473	0.0268	0.0941	0.1067	1.5019	2.3463	0.8371	0.2469	1.5155	0	8.0715	0.7993	2.7718	1.6205	0.5619
AC011816.4	2.8661	4.0955	0.8847	0.9285	3.2982	1.4906	1.0073	1.6336	5.6054	2.1649	0.116	3.733	1.8504	1.6082	1.0259
AC011840.1	0.4608	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011841.1	27.5758	13.4084	11.2113	10.7756	0.8284	26.1976	3.5158	7.6811	0.1924	19.3399	0.5063	28.2682	16.284	44.4016	0.9462
AC011841.2	2.327	0.1716	0	0	0	0.5625	0	0	0	0	0	0.213	0	0.1966	0
AC011841.3	1.8938	0	0.1504	0	0	0	0	0	0	0	0	0.35	2.4586	0	0
AC011841.4	0.0411	0	0	0	0.0037	0.1139	0	0	0	0	0	0	0	0	0
AC011841.6	2.0291	0	0	0	0	0	0	0	0	0	0	0	0	0.1378	0
AC011841.7	3.5538	0	0.1441	0	0	0	0	0	0	0	0	0.7877	0.8539	0	0
AC011841.8	4.9934	2.9589	4.3564	3.3924	0.5004	5.1161	0.1743	1.3078	0	0.6876	0.1199	6.8892	10.4558	14.6993	0
AC011884.2	9.9091	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011890.1	0.0839	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011891.5	0	0	1.102	1.1333	0	0	0.29	0	0	0	0	0	0	0	0
AC011893.3	2.0013	0	0	4.0271	0.0335	0	0	0	0	0	0.3572	1.2951	0.1875	0.2652	0
AC011895.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011897.2	1.5565	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011899.10	0.8231	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011899.9	3.0713	0	3.9141	1.0064	5.1387	0.9883	6.0437	5.5012	3.8541	0	6.5653	0.7689	0.9589	0.2843	2.8915
AC011901.1	0.0029	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011901.2	0.476	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011904.1	4.8935	0.3764	0.7393	0.7072	0.2683	0.6606	0.3902	0.805	0.054	0.2929	0.2472	0.3972	1.0733	0.3508	0.1781
AC011912.1	2.8647	0.3593	0.266	0.7612	0.3494	1.0618	0.4083	0.5413	0.2687	2.0421	2.0116	0.5016	0.5473	0.8089	0.2756
AC011933.2	23.0875	9.2473	14.4035	6.475	5.8685	5.8374	21.2352	6.826	13.6449	1.0127	13.829	8.2364	20.6013	4.4739	8.2609
AC011944.1	10.6654	0.6334	0.2166	0	0.0646	0.3862	0	0.0402	0	0	0.6925	0	0.43	0.0038	0.2263
AC011978.1	0.7822	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011978.2	0	0.219	0.3041	0	0	0.0522	0.3422	0	0	0	0.8049	0.3267	0.2293	0	0.0142
AC011994.1	6.8527	0.1095	0.1359	0.2405	1.4038	0.3527	0.2308	0.2593	0.0737	0.0986	0.095	0.095	0	0.5322	0
AC011994.5	0.8297	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011995.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011995.2	0.242	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011995.3	0.3791	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011996.1	1.2269	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011997.1	0.1101	0.0125	0	0	0	0	0	0	0	0.0192	0	0	0	1.2421	1.0098
AC011998.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011998.2	0.0655	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011998.3	0	0	0	0	0	0.0094	0	0.0173	0	0	0	0	0.0178	0.0236	0.0105
AC011998.4	1.7116	0	0	0	0	0	0	0	0.1261	0	0	0	0	0	0
AC011998.5	2.0526	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011999.1	0.1803	1.0137	0	0	0.0607	0	0	0	0	0	1.7038	0.5796	0.5128	0	0
AC012005.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012005.2	0.0113	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012005.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012044.1	3.0644	2.2466	2.5308	3.1687	0.3384	1.6654	5.2151	2.9969	0.7993	1.2426	1.2574	5.4615	11.7087	2.8819	2.3875
AC012047.1	4.998	0	0	3.2954	0.6143	0.3676	2.7877	0.7438	0.3868	0	2.5077	0	1.0343	0.4041	2.5461
AC012050.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012065.4	0.6931	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012065.5	1.248	2.3899	0	0.5129	0.7296	1.9563	2.5158	0	4.5032	10.8967	0.8614	1.7326	2.4107	1.04	0.9897
AC012065.6	0	0	0	0	0	0	0.1527	0	0	0	0	0	0	0	0
AC012065.7	0.0672	1.2889	0.1515	0.435	1.0851	1.1293	1.6755	0	0.7445	0.1785	0.1323	1.6021	1.9817	0.8145	0.0332
AC012066.1	0.1952	0	0	0.0251	0.0947	0.0442	0.5748	0	0.3573	0	0.0397	0.0396	0.0279	0.037	0.0166
AC012068.2	0.1797	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012072.1	0.2142	2.3039	0.5101	5.3749	0	0.5724	1.2845	0.9357	1.7549	0.7637	7.685	0.9049	4.6217	3.4153	1.4572
AC012074.1	0	0	0.1973	0	0	0.1529	0	0	0	0	0.1803	0.5218	1.0865	0.0969	0
AC012074.2	0.3723	0	0	0	0.193	0	0	0.1553	0.5899	0	0.0109	0.5183	0.1743	0.0977	0
AC012075.1	3.4009	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012075.2	0.4041	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012078.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012078.3	0.3295	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012085.1	5.2812	2.7906	3.7701	10.85	1.2986	2.4045	7.9208	5.9377	15.3757	3.2974	0.5835	1.0909	3.1924	1.8305	4.0554
AC012085.2	0.8123	1.1576	1.35	0.6218	0.1764	0.3682	0.5618	0.128	0.5824	1.9689	1.674	1.5998000000000001	3.7322	0.464	0.1722
AC012087.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012087.2	0.1541	0	1.227	0	0	0	0	0	0	1.6866	0	0	0	0.5089	0
AC012100.1	11.9567	8.0708	6.5241	21.0749	18.9385	7.4768	16.9136	17.6219	14.5378	7.225	14.6265	2.4291	7.8066	5.588	10.9556
AC012100.2	1.7432	0.0364	0.0608	0.2446	0.0479	0.4446	0.8038	0.0107	0.2466	0.2484	0.2722	0.359	0.8343	0.037	0.0067
AC012119.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012123.1	0.2736	0	0	0	0	0.0965	0	0.4298	0	0	0	0.0662	0.0161	0.1316	0
AC012146.7	26.0883	55.2795	53.9918	73.6856	7.8871	89.1409	18.912	41.1763	23.2185	30.9043	1.4431	56.391	70.9231	51.1125	18.0939
AC012150.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012154.1	3.5877	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012170.2	29.4062	22.1693	15.6563	22.6866	8.1837	15.3606	7.0563	27.6357	7.7406	56.9762	107.9872	66.0191	45.2291	43.4111	15.2203
AC012175.1	0.9255	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012181.1	0.1532	0	0	0	0	0	2.1464	0	1.293	0.3526	0	0	0	0.0412	0.2168
AC012183.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012183.2	0	0	0	0	0	0	0.829	4.6606	0	0	1.4992	0.6664	0.401	0	0
AC012184.1	6.397	11.7611	9.8932	6.1905	3.1557	10.3675	8.5343	12.6578	7.9472	4.8422	4.3626	10.5469	10.8343	9.0765	5.552
AC012215.1	0.3554	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012262.1	0	0	0	0.1949	0	0	0	0	0	0	0	0	0	0	0
AC012305.1	0.3212	0	0.0056	0	0	0	0	0	0.0888	2.1701	4.4678	0	0.086	1.3062	0
AC012306.2	0.6271	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012307.2	0.773	0.9261	0	0	0	0	0.0527	0	0	0	0	0	0	0	2.55
AC012307.3	3.0206	3.7685	5.2343	3.1756	7.1551	4.2582	5.1207	0.8425	3.5153	6.7195	5.1695	1.879	2.3006	2.5066	1.2946
AC012309.3	5.1555	8.0062	3.7316	2.3408	0.8359	3.3983	3.1142	2.6474	3.2339	5.4194	1.4414	5.0952	7.6768	5.6884	4.6111
AC012309.4	7.1025	18.2803	11.6423	7.2872	1.1444	13.7329	12.6776	18.2577	13.2159	8.0884	13.3286	23.3131	33.5651	9.6277	17.0337
AC012309.5	3.5936	9.3756	0	0	0.1243	6.868	0	0	0	1.4716	0	21.9837	2.7731	2.7875	0.1542
AC012313.1	0.5779	2.68	1.4049	0.0757	0.7134	1.8847	0.949	0.3675	0.4368	0.6035	0.6774	2.7645	3.7711	2.5543	0.4026
AC012313.3	0	0	0	0	0	0	0	0.0385	0	0	0	0	0	0	0
AC012313.4	0.1966	0.1593	0.796	0.0728	0.7413	0.5219	0.3491	0.2231	0.7337	0.138	0.2779	0.2181	0.5213	0.9769	0.2773
AC012313.5	1.375	0.6046	0.5349	0.2363	0.1074	1.9683	0.1405	1.4056	0.045	0.2275	0.4263	1.6976	3.4239	0.087	0
AC012314.1	1.2281	0.688	0	0	0.5669	0	0.5893	0	0	0	0.2127	1.5945	0.2918	1.8121	0
AC012314.19	6.7214	0.0992	3.0777	5.6732	2.8574	1.2095	1.5531	0	4.6139	0	2.0286	0.3905	0.807	0.3303	0.0073
